,target,source,number_people,weight
374,Al-amin,Banreere,10,0.2857142857142857
375,Al-amin,Bun-beegay ,5,1.0
376,Al-amin,Buulo barake,13,1.0
377,Al-amin,Dhar gubay,9,0.47368421052631576
378,Al-amin,Haaway qeremay,6,1.0
379,Al-amin,Horgoyta,8,0.13793103448275862
380,Al-amin,Labi-foorar,7,0.25
381,Ala Weyn,Balad Amiin,20,1.0
382,Alaa Kariim,Mareerey,23,0.05778894472361809
383,Alaf Doon,Janaale,27,0.019230769230769232
384,Alanbuur,Cabdi cali,8,0.3333333333333333
385,Alanbuur,barwaqo,7,0.2413793103448276
386,Alasuge,Awdinle ,19,0.03281519861830743
387,Alasuge,Canole,13,0.06951871657754011
388,Alasuge,Xawaadley,20,0.027972027972027972
389,Alawayn,Balcad,16,0.37209302325581395
390,Alawayn,Buulow,9,0.5294117647058824
391,Alaziz,Awdheegle,35,0.009708737864077669
392,Albaraka,Babaylow,12,0.17142857142857143
393,Albaraka,Buusaar,36,0.06728971962616823
394,Albaraka,Dhagaajo,11,0.44
395,Albaraka,Halkaanto,30,0.410958904109589
396,Albaraka,Liimoole,42,0.1510791366906475
397,Albaraka,Mataano,49,0.17192982456140352
398,Albaraka,Raaxoole,21,0.023230088495575223
399,Albaraka,Shanqalow,18,0.07171314741035857
400,Albaraka,Xamari,13,0.05394190871369295
401,Albaraka,buula caday ,14,1.0
402,Albaraka,caanoole,36,0.09498680738786279
403,Albaraka,raaxoole,44,0.12535612535612536
404,Albaraka,shanqalow,30,0.09404388714733543
405,Albaraka,warsaamale,93,0.34962406015037595
406,Ale Qabe,Alle Qabe village,25,1.0
407,Ale Qabe,Alle Qabe village ,23,1.0
408,Ale Qabe,Towsile  village,8,1.0
409,Alfatax,Barbaar,6,0.375
410,Alfurqan,Buula sheikh,23,0.21100917431192662
411,Alfurqan,Mahaday,23,0.696969696969697
412,Alhamdullahi,Abaq talaal,24,1.0
413,Ali Kheir,Xawal barbaare,20,1.0
414,Alihsan,Gashaan,10,1.0
415,Alindi,Balbaley,34,0.1574074074074074
416,Aliyow Baarow,wargaabo,10,1.0
417,Aliyow Keerow,Barbaare,8,0.026143790849673203
418,Aliyow Keerow,Jawaarey,10,0.21739130434782608
419,Aliyow Keerow,Kurmaan,5,0.008156606851549755
420,Aliyow Keerow,Kurmaan ,3,0.09375
421,Aliyow Keerow,Ufurow,6,0.003232758620689655
422,Aliyow Marayle,Bakal Eedeng,7,0.3181818181818182
423,Aliyow Marayle,Diinsoor,5,0.0058823529411764705
424,Aliyow mad araale,Aliyow mad araale,50,0.9090909090909091
425,Aliyow mad araale,Beled amin ,3,0.16666666666666666
426,Aliyow mad araale,Bulo abag,9,0.32142857142857145
427,Aliyow mad araale,Esow,7,0.056
428,Aliyow mad araale,Garas muud ,11,1.0
429,Aliyow mad araale,Hagarka,8,0.15384615384615385
430,Aliyow mad araale,Labi-foorar,12,0.42857142857142855
431,Aliyow mad araale,Sarta,19,0.5588235294117647
432,Aliyow mad araale,Sarti,8,0.5714285714285714
433,Aliyow mad araale,Tosi libee ,4,1.0
434,Alkamar,Yaaq Beri Weyne,33,0.04114713216957606
435,Alkhaliif,Alkowsar,20,0.7692307692307693
436,Alkhayraat,Bardadawaco,12,1.0
437,Alkhayraat,Cuun,18,0.6
438,Alkhayraat,Geedbuur,6,1.0
439,Alkhayraat,Maqalaly,6,1.0
440,Alkhayraat,Xaarxaar,12,1.0
441,All Xamdu,Baidoa ,5,0.03571428571428571
442,All Xamdu,Bardale ,3,0.03409090909090909
443,All Xamdu,Ideed wanle,4,1.0
444,All Xamdu,Iskirii ,4,0.3333333333333333
445,Alla Aaamin Indhoolayaasha,Awdinle ,6,0.010362694300518135
446,Alla Aaamin Indhoolayaasha,Danballe,3,1.0
447,Alla Aaamin Indhoolayaasha,Daynuunay ,5,0.021834061135371178
448,Alla Aaamin Indhoolayaasha,Gurbaan,4,0.005961251862891207
449,Alla Aaamin Indhoolayaasha,Kurmaan ,4,0.125
450,Alla Aaamin Indhoolayaasha,Moolamad,8,0.21621621621621623
451,Alla Aaamin Indhoolayaasha,Moolamad ,3,0.025210084033613446
452,Alla Aaamin Indhoolayaasha,Qasalow,9,1.0
453,Alla Aamin,Bangaley,21,1.0
454,Alla Aamin1,Buq gosaar,3,1.0
455,Alla Aamin1,Ethiopia,38,0.010850942318675044
456,Alla Aamin1,baadikeen,10,0.5263157894736842
457,Alla Aamin1,burdho,4,0.13333333333333333
458,Alla Aamin1,caloola cad,4,0.19047619047619047
459,Alla Aamin1,ceel cali,3,0.09375
460,Alla Aamin1,ceelka baar,4,0.17391304347826086
461,Alla Aamin1,doonkudle,5,0.4166666666666667
462,Alla Aamin1,kabxanleey,10,0.5263157894736842
463,Alla Aamin1,luuq jeloow,10,0.7692307692307693
464,Alla Aamin1,mcaan qaale,6,1.0
465,Alla Aamin1,qurac joome,8,1.0
466,Alla Aamin1,xaaji nuur,5,0.23809523809523808
467,Alla Amin,Laandheer,31,0.10130718954248366
468,Alla Qadari,Misir,25,0.0397456279809221
469,Alla Tuug,Aadan yabaal,30,0.14084507042253522
470,Alla Tuug,Bardheere,5,0.2631578947368421
471,Alla Tuug,Bula burte,6,0.2727272727272727
472,Alla Tuug,Bullo burte,3,1.0
473,Alla Tuug,Cadale,13,0.21666666666666667
474,Alla Tuug,Ceel dheer,12,0.23076923076923078
475,Alla Tuug,Ceel dheer.,7,1.0
476,Alla Tuug,Qansaxdhere,4,0.17391304347826086
477,Alla Tuug,Qasax  dheere,6,1.0
478,Alla Tuug,Qoryoley ,8,0.3076923076923077
479,Alla Tuug,Wanlaweyn,6,0.5454545454545454
480,Alla tuug,Balcaano and Eji,18,1.0
481,Alla tuug,Bangoroyo ,25,0.1282051282051282
482,Alla tuug,Burhakabo ,5,0.38461538461538464
483,Alla tuug,Ganboole and Bangoronyo,49,1.0
484,Alla tuug,Ganboole and bayaxaaw ,26,1.0
485,Alla tuug,Jaqaay,26,1.0
486,Alla tuug,Jawaay and bayaxaaw ,40,1.0
487,Alla tuug,Jaway,26,1.0
488,Alla tuug,Jawhar ,4,0.0449438202247191
489,Alla tuug,Lebiga,32,0.23529411764705882
490,Alla tuug,Moorigubad and Bangoronyo,37,1.0
491,Alla tuug,Primo zendo ,40,0.3508771929824561
492,Alla tuug,Qararaf and balcaano ,34,1.0
493,Alla tuug,Qoryole,3,0.23076923076923078
494,Alla'Aamin 1,Beyra,18,0.375
495,Alla'Aamin 1,Bilcil,12,1.0
496,Alla'Aamin 1,Bursaalax,12,0.2
497,Alla'Aamin 1,Cagaaran,6,0.058823529411764705
498,Alla'Aamin 1,Dhagaxyacade,6,1.0
499,Alla'Aamin 1,Garsoor,24,0.10810810810810811
500,Alla'Aamin 1,Israc,42,0.1794871794871795
501,Alla'Aamin 1,Magacley,6,1.0
502,Alla'Aamin 1,Qoryooley,12,0.038834951456310676
503,Alla'Aamin 1,Xerojalle,6,0.3333333333333333
504,Alla-Amin,Awdinle ,14,0.024179620034542316
505,Alla-Amin,Banreeri,5,0.5
506,Alla-Amin,Buulo fulaay,3,0.07894736842105263
507,Alla-Amin,Buur edoy,8,1.0
508,Alla-Amin,Dalandoole,5,0.054945054945054944
509,Alla-Amin,Labatan jarow,15,0.3333333333333333
510,Alla-Amin,Moolmad,13,0.22413793103448276
511,Alla-Amin,Sigli,5,0.0847457627118644
512,Alla-Amin2,Ethiopia,83,0.023700742432895487
513,Alla-Amin2,axmed kooreey,5,0.09259259259259259
514,Alla-Amin2,buq aqable,7,0.2413793103448276
515,Alla-Amin2,ceel rooble,5,0.38461538461538464
516,Alla-Amin2,ceelcali,10,0.6666666666666666
517,Alla-Amin2,ceelka baar,3,0.13043478260869565
518,Alla-Amin2,deefoow,3,0.1875
519,Alla-Amin2,jiiqleey,19,1.0
520,Alla-Karim,Aadan yabaal,9,0.04225352112676056
521,Alla-Karim,Adan yabala,7,0.1076923076923077
522,Alla-Karim,Adsn yabala,5,0.2777777777777778
523,Alla-Karim,Balcad,5,0.11627906976744186
524,Alla-Karim,Balcad ,20,0.07782101167315175
525,Alla-Karim,Baraawey,3,0.012658227848101266
526,Alla-Karim,Cadale,9,0.15
527,Alla-Karim,Ceel dheer,6,0.11538461538461539
528,Alla-Karim,Jawhar ,6,0.06741573033707865
