arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Hareera Boor,4,1,1,2,True,Drought,Buur eyle
Maskinow,10,1,1,8,True,Drought,Burgadud 
Deg-Gomor,3,1,1,1,True,Drought,Diinsoor
Badar,5,1,1,3,True,Drought,Ethiopia
Gololey,28,10,8,10,True,Flood,Jameeco misra 
Dheriyow,5,1,1,3,True,Drought,Jawaarey
Sarman Dheer,6,2,2,2,True,Drought,Wadajir
Gaduuday,4,1,1,2,True,Drought,Diinsoor
Lebiley,3,1,1,1,True,Drought,Buulo fulaay
Reydabaale,8,3,2,3,True,Drought,Reydabaale
Kulmiye IDP,5,1,1,3,True,Other,Kali dhanaan village 
Tuur Wailun,6,1,1,4,True,Drought,Baraawey
Burti Muun,10,2,2,6,True,Drought,Ethiopia
Kaydsaney IDP,38,11,5,22,True,Drought,Shanqalow
Qadiid,4,0,2,2,True,Drought,Qadiid village
Hawal Been,7,1,2,4,True,Drought,Mushka
Dhar Gubey,9,3,2,4,True,Drought,Dhar Gubey
Hilaal Yamen,6,1,1,4,True,Drought,Bacaadweyn
Warshada Camp B2,1,1,0,0,True,Drought,Mashaqo 
Dolondoolo,15,3,5,7,True,Drought,Deynuunay
Mowlid Laqay,13,2,2,9,True,Drought,Warq
Salama 1,12,2,3,7,True,Drought,Burtinle
Warshada Camp A,2,1,1,0,True,Drought,Migwa 
Wadajir Horseed,9,2,4,3,True,Drought,Buur eyla 
Gawiido,25,5,10,10,True,Drought,"Caracase 
Tuulo barwaqo "
Madaxwarabe,6,1,1,4,True,Drought,Banjanay village
Habaal Adey,81,15,16,50,True,Drought,Buula qansax
Bula Kulow,29,7,5,17,True,Conflict,Gurbaan
Raydabo,9,2,3,4,True,Drought,Raydabo
Sheikh Oyaaye 1,52,10,17,25,True,Drought,Qajafeey
Kananax Camp,3,1,1,1,True,Drought,Qotqot
Doger Hosle,3,1,1,1,True,Drought,Tugaar-Hoosle
Hanaano1,6,3,2,1,True,Drought,Barkadle 2
Orogley,2,0,1,1,True,Drought,Orogley
Badbaado 2,19,4,5,10,True,Conflict,Buusaar
11-Janaay-2,3,1,1,1,True,Drought,Goodey
Dulmi Diid,4,1,1,2,True,Drought,Unkown
Suuqo Xoolaha,25,3,8,14,True,Drought,Dheenweyne
Liibaanta Qoryooleey,8,2,1,5,True,Drought,Kuntuwarey
Garas Jereed,5,2,1,2,True,Conflict,Qoryooley
Kurtun,4,1,1,2,True,Drought,Barakow
Shimbirale,23,3,6,14,True,Drought,Mushaani
Wadajir,30,5,11,14,True,Drought,Xabeeble
Galmadobe Bari,10,0,3,7,True,Drought,Hareeri Madoobe
Wehliye Camp,13,3,5,5,True,Conflict,Alifow
Koban Dheere-2,4,1,1,2,True,Drought,Gaduudidhunti
Abal,3,0,2,1,True,Drought,Abal village
Maroodi,9,3,3,3,True,Drought,Maroodi
Nasri 2,5,1,2,2,True,Drought,Ethiopia
Juba Baraawa,12,2,3,7,True,Conflict,Liimoole
Weel Tugar,8,1,1,6,True,Drought,Weeyl Daage
Goley 1,3,1,1,1,True,Drought,Aliyow dooyow
Danbaley,3,1,1,1,True,Drought,Abaalbarbari
Bulo bartire IDP,5,0,2,3,True,Conflict,Turde 
Kalamaharto,7,2,3,2,True,Conflict,Eeney
Hanano 2,6,2,2,2,True,Drought,Goof Gaduud Buuray
Liban,3,1,1,1,True,Drought,Baygaduud
Kheerdoon,20,5,8,7,True,Drought,Wadajir
Kishaadi,1,0,1,0,True,Drought,Kishaadi village
Lamo Warood,11,2,2,7,True,Drought,Duurey
Bakal Sheli,2,1,1,0,True,Conflict,Hagaray
Buulo Xaawiyow,8,2,3,3,True,Drought,Buulo Xaawiyow
Awoodimow,3,1,1,1,True,Drought,Daynuunay 
Mindhig IDP,3,1,1,1,True,Drought,Makiiney
Dalhis,10,2,3,5,True,Drought,Farhane
Tog Jano,12,3,4,5,True,Drought,Gawarow
Gardiile 1,3,1,1,1,True,Drought,Uffurow
Indhoolayaasha Nicmoole,7,2,2,3,True,Drought,Buuli Gomor
Bar Baare,3,1,1,1,True,Drought,Baarsaare
Tuulada Waraabow,6,1,1,4,True,Drought,Baraawey
Horseed,7,2,2,3,True,Drought,Geelwaay
Towsi-Libee,14,4,5,5,True,Drought,Towsi libee 
Sedax Buurow,3,1,1,1,True,Conflict,Rabdhuure 
Hakaba,8,2,3,3,True,Drought,Busley
Waab-Doore,9,2,3,4,True,Drought,Cawaq taag
Lafo Barkato,12,1,4,7,True,Drought,Cado dheero
Sarman Deer,29,7,10,12,True,Drought,Owdhiigle
Alle Qabe,4,1,1,2,True,Drought,Bakal Eedeng
Ramagaroore,5,1,1,3,True,Drought,Aljazira idp
Gaduudo Dhunti,8,2,2,4,True,Drought,Tugaarey 
Harqaboobe,3,0,1,2,True,Drought,Teedan 
Arbohiray,6,2,2,2,True,Drought,Barakow
Tuugsoy,1,0,1,0,True,Drought,Busley
Biile 2,7,1,1,5,True,Drought,Bakalka
Kurtun,10,4,1,5,True,Drought,Kurtun
Abag-Tag,6,1,1,4,True,Drought,Humbowe
Fathu-Rahman,4,1,1,2,True,Drought,Shibeelow
Arlaadi IDP camp,5,2,2,1,True,Drought,Qasa oomana
Tawakal,11,2,4,5,True,Drought,Doodaya malable
Bulo Raxma,13,3,5,5,True,Drought,Bulo Raxma
Jafaay,3,1,1,1,True,Drought,War midow
Fayobe,25,6,9,10,True,Flood,Jazire
Taakulen,15,4,5,6,True,Conflict,Muminow
Al Aamin IDP,29,2,7,20,True,Conflict,Raaxoole
Doyale,10,2,3,5,True,Drought,buq gosaar
Mora Fuur,4,1,2,1,True,Drought,GelGel
Banyal,15,5,5,5,True,Drought,Huubey
Ganugaay,6,2,2,2,True,Drought,Diinsoor
Raama Dhowey,3,1,1,1,True,Drought,Baardhere
Tawakal Idp,23,2,8,13,True,Conflict,Wadajir
Qod-Qod,7,1,1,5,True,Drought,Ethiopia
Safar-Nooley,7,2,2,3,True,Drought,Rasmi aadey
Bula Gedi,22,2,8,12,True,Drought,Yaasiin laawe
Wardiire 2,6,2,2,2,True,Drought,Goof Gaduud Buuray
Barkulan,8,2,2,4,True,Conflict,Gambow
Qaatumo,3,1,1,1,True,Drought,Ethiopia
Hol-Ade,5,1,2,2,True,Drought,Gubadgaloole village
Qasaley,4,1,1,2,True,Drought,Tugar hoosle
Ceel Garas,2,1,1,0,True,Drought,Baidoa
Gubataay,7,1,2,4,True,Drought,Kamorow
Gaabey,12,2,2,8,True,Drought,Baardheere
Kulimye IDP Centre,58,12,15,31,True,Conflict,Buula baalay
Buurfule,25,5,7,13,True,Drought,Daafeed
Banhadile,18,4,5,9,True,Conflict,Bulamusley wah in urban 
Dhato,5,1,2,2,True,Drought,Jafey
Warshiidle,3,0,3,0,True,Drought,Warshiidle village
Camp Hawina,11,2,3,6,True,Drought,Jira
Waraabow,3,1,1,1,True,Drought,Baidoa
Man Deeq IDP,36,6,9,21,True,Conflict,Saakow
Isha Beydhabo,15,5,6,4,True,Drought,Awdeegle
Tuugaarey,45,14,22,9,True,Flood,Far barki 
Jakaton,3,1,1,1,True,Drought,Tuutes
Beer itir,25,6,9,10,True,Drought,Luuq area
Warjano,5,1,2,2,True,Conflict,Cabdi cali
Adc-5,4,1,2,1,True,Drought,Banow
Ideedkuri,4,1,1,2,True,Drought,Ideedkuri
Waaberi,8,2,1,5,True,Conflict,Boholyexaas 
Iidaale Bulsho,19,4,6,9,True,Conflict,Baanow
Xagay,2,0,1,1,True,Other,Unkown
Celgodow,2,1,1,0,True,Drought,Celgodow village
Koonfur Bari,4,1,2,1,True,Drought,Doygab village
Gaashaan,12,2,2,8,True,Conflict,Unkown
Xirmo-Waamo,8,2,2,4,True,Drought,Kaysaney
Sanjuurey,7,2,2,3,True,Drought,Sanjuurey
Sirmaqabe,20,5,5,10,True,Conflict,Bojaye
Mashkur,2,0,1,1,True,Conflict,October
Garasfur,6,1,1,4,True,Drought,Misra
Sakow Camp,6,1,1,4,True,Drought,Kurman
Bilile,8,1,1,6,True,Drought,Buulo Ajuuse
Haduuman,16,6,5,5,True,Drought,Shibeelow
Adable Gunre,3,1,1,1,True,Drought,Buula balash
Istambul,7,1,2,4,True,Conflict,Nyeri 
Wadajir 2,4,1,1,2,True,Drought,Raxoole
Dooy-Gabey,6,1,1,4,True,Drought,Gurbaan
Tawakal Sigalow,4,1,1,2,True,Drought,Ethiopia
Busley,3,0,2,1,True,Drought,Busley village
Kafaaya,4,1,1,2,True,Drought,Qoryoley 
Tateey,6,2,2,2,True,Drought,Qardhaale
Buulo jadiid,6,1,1,4,True,Drought,Tufka
Qalbi Saliin,7,2,2,3,True,Conflict,Jambaluul 
Malkaariyey,45,15,15,15,True,Drought,"Funujo 
Diirharo "
El Fiin,5,1,1,3,True,Drought,El Fiin
Wereg,12,3,3,6,True,Drought,Ufurow
Garaska Shabada,5,1,2,2,True,Drought,Hawal Been
Howlwadag2,17,2,3,12,True,Drought,Ex-Kontorol Afgooye
Liban IDP,39,11,9,19,True,Conflict,Baarka humandheerow
Balguri IDPs,28,6,10,12,True,Drought,Balcaano
Hirmo Liiban,8,2,3,3,True,Drought,Uffurow
Baladul Amin,5,3,1,1,True,Conflict,Toosweyne
Kutimbo,8,2,2,4,True,Drought,Ethiopia
Gasile,3,1,1,1,True,Drought,Gasile
Buulo Gaduud,4,0,1,3,True,Drought,Buulo Hareere
Garguur 2,6,2,2,2,True,Drought,Misra
Xabiibayaal,7,2,2,3,True,Drought,Diinsoor 
Warhinshile,3,1,1,1,True,Drought,Buurdhuxunle
Gololka IDP,8,2,3,3,True,Drought,Dhejiile
Alla tuug,34,8,9,17,True,Flood,Qararaf and balcaano 
Yaman,3,1,1,1,True,Conflict,Jiir
Ato,2,1,1,0,True,Drought,Ato village
Mogar Arow,3,1,1,1,True,Conflict,Diinsoor 
Taangi,5,1,1,3,True,Drought,Balcad 
College Abdullahi Cigaal,9,2,2,5,True,Drought,Ethiopia
Shiidile,3,1,1,1,True,Drought,Shiidile
Jaaboole Bari,9,1,2,6,True,Drought,Ceel jawdheer
Kurman Galbeed village,12,6,5,1,True,Drought,Buslay
Hareeri-Jiroon,7,1,3,3,True,Drought,Mood moodi
Sabeedow,3,1,1,1,True,Drought,Buur Iyo Shabelow
Buulo ooman,3,1,1,1,True,Drought,Baarey
Ideed Koblee,3,1,1,1,True,Drought,Bulo hawo
Elberde,3,0,1,2,True,Drought,Elberde village
Qansax dheere,2,0,1,1,True,Other,Dhaay dheere village 
Buula Issack,3,1,1,1,True,Drought,Baardhere
Camp Jiroon,15,5,5,5,True,Drought,Ceelboon 
Odaa,18,8,5,5,True,Drought,"Funujo
 Caracase "
Camp Ajuran,33,3,15,15,True,Drought,Lafmakeed 
Asal,5,1,2,2,True,Drought,Caqaboy
Qeyre 1,23,4,7,12,True,Drought,Maduulow
Buurdhuuba,5,1,1,3,True,Other,Awmaadow village in rural
Busley,9,0,3,6,True,Drought,Tiirka
Dini Doog,6,2,2,2,True,Drought,Rabdhuure 
Warshira,7,2,2,3,True,Drought,Warshira
War-Yeroy,12,2,2,8,True,Drought,Tugaar-Hoosle
Sur Gaduud,75,20,26,29,True,Conflict,Luuq town 
Dhiila,4,1,1,2,True,Drought,Buurdhuhule
Jilelow Camp,10,2,2,6,True,Drought,Biile 1
Nuurkaa,6,1,1,4,True,Drought,Abag jibeed
Warshada Camp C,1,0,1,0,True,Drought,Koban 
Barabaraay,4,1,1,2,True,Drought,Sanajif
Billi Weyn,16,4,3,9,True,Drought,Bulagalol
Qurdubay,10,2,2,6,True,Drought,Runey 
Waambato,3,1,1,1,True,Drought,Ufurow
Beriyow,1,0,0,1,True,Drought,Hidig
Bakalka,4,1,1,2,True,Drought,Tufka
Kaxareey,125,36,41,48,True,Drought,Adabla weyn
Bulo bartire,8,2,2,4,True,Conflict,Nyeri 
Qootey,39,7,11,21,True,Drought,Lahelow
Roobaay,23,6,7,10,True,Conflict,Tugow
Ceynabo,5,1,1,3,True,Drought,caaqibooy
Buulo Abag,9,3,3,3,True,Drought,Buulo Abag
Moorishillinle,1,0,1,0,True,Drought,Aboore village
All Xamdu,5,3,1,1,True,Drought,Baidoa 
Weeyl Daage,8,1,2,5,True,Drought,Tuur Wailun
Goombir,2,1,1,0,True,Drought,Doolow
Waareeyle,3,1,1,1,True,Drought,Dambala
Lehelow,2,1,1,0,True,Drought,Lehelow village
Soorante,5,1,2,2,True,Drought,Ceel-laheley 
Yaaqshiid,14,5,5,4,True,Drought,Shanta Mundule
Qurdubey,20,5,5,10,True,Drought,Bohol garas
Mahadaay,112,27,34,51,True,Conflict,Miir taqwa and wararxleey
Mukubow,5,1,2,2,True,Drought,Esow
Farey,15,3,5,7,True,Conflict,Howl wadaag
Ismaaciil,10,3,3,4,True,Drought,Ismaaciil
Makoon,7,2,2,3,True,Drought,Uffurow
Sheikh Omar,26,6,9,11,True,Drought,Abdulle xabad
Maduuloow,24,6,7,11,True,Drought,Maduulow
Imillow 1,9,3,3,3,True,Drought,Waajid
Camp Jirih,54,20,15,19,True,Conflict,Wadajir
Dhill,2,0,1,1,True,Drought,Dhiil village
Raaso,3,1,1,1,True,Conflict,Shibeelow
Muryaale,25,8,11,6,True,Flood,Far barki 
Adad-Gerey,5,1,1,3,True,Drought,Xabiibayaal
Iltire,6,2,2,2,True,Drought,Sariito
Buulo 1,14,3,4,7,True,Drought,Ethiopia
War-Midow,3,1,1,1,True,Drought,Raaxoole
Hillaac,15,2,2,11,True,Drought,Ethiopia
Barakow,7,1,1,5,True,Drought,Tuur Wailun
Taflaaw,13,4,3,6,True,Drought,Taflaaw
Barkaanle1,5,1,1,3,True,Drought,Qansaxdhere 
Imaam Aamin,4,1,1,2,True,Drought,Jawhar 
Gadude,60,15,29,16,True,Conflict,Xamari
Goljano,12,3,2,7,True,Drought,Korar
Ceel Guduud,11,3,2,6,True,Drought,Ceel Guduud
Buulo-Fuur,2,1,1,0,True,Drought,Doolow
Kheyre 2,22,4,7,11,True,Drought,Ruun Nirgood
Jeenoley,5,2,2,1,True,Drought,Jeenoley
New Qam-Qam,5,0,2,3,True,Conflict,Barsanguni
Quracda-Haanoy,8,3,1,4,True,Conflict,Malkaahidaa village 
Alla-Amin,3,1,1,1,True,Drought,Buula Fulay
Khalid 2,1,1,0,0,True,Drought,Bula xaji 
Sigaalow Qayr Qabe,3,1,1,1,True,Drought,caloola cad
Hibow,7,2,2,3,True,Drought,Hibow
Iftin IDP,61,11,21,29,True,Conflict,Cadayli
Daadaale,25,5,7,13,True,Drought,War maxan
Buulo Agoon,6,1,1,4,True,Drought,Xerojaale
Aadtkiyaal,7,2,3,2,True,Drought,Dhariiqada village
Yeed,4,1,2,1,True,Drought,Yeed
Daaifo,60,14,19,27,True,Drought,Garas dheere
Bulo Addoy,10,4,3,3,True,Drought,Bulo Addoy
Hashinloow,21,7,4,10,True,Conflict,Luuq town 
Luglaaw,5,1,1,3,True,Conflict,Nyeri 
Warsan,2,1,1,0,True,Drought,Sigli
Shimbirow,2,0,1,1,True,Drought,Shimbirow village
Buuloneebsin,3,1,1,1,True,Conflict,Daynuunay 
Bantiifow,5,2,2,1,True,Drought,Duuray
MOGOR IDP,9,1,3,5,True,Drought,Maanyow
Dujumadeshekfam,15,2,3,10,True,Drought,Dhismaha
Qansaxley,153,27,45,81,True,Drought,Dhamas
Tufka,9,3,2,4,True,Drought,Tufka
Buulo Garar,5,1,1,3,True,Drought,Ethiopia
Miidow,11,5,4,2,True,Drought,Gumarow
Bodaan-2,4,1,1,2,True,Conflict,Buurdhuxunle
Habar Wanot,6,2,2,2,True,Drought,Baidoa
Tuboy,3,1,1,1,True,Drought,Garsaaley
Istanbul IDP,6,1,2,3,True,Conflict,Turde 
Duyacley,14,3,3,8,True,Conflict,Bohol yaxaas village
Edaan Qaboobe,2,1,1,0,True,Drought,Garsaaley
Ulo Dheer,3,0,1,2,True,Other,Unkown
Fiidow,25,7,10,8,True,Drought,Warmaxan
Buulo Dhaaya,9,2,1,6,True,Drought,Buulo Dhaaya
Ramadhabi Camp,6,1,1,4,True,Drought,Misra
Bundogadud,6,2,1,3,True,Drought,Bakol
Qansax Oomane,32,12,10,10,True,Drought,Caracase 
Farak,7,2,1,4,True,Drought,Elgaras village
Ban-Yal,4,1,1,2,True,Drought,Ethiopia
Show,18,3,5,10,True,Conflict,Basro
Makuudo,7,2,3,2,True,Drought,Makuudo
Yaaq Braawe,15,2,2,11,True,Drought,Malablay
Kanaanah,10,2,2,6,True,Drought,Golol raame
Alla Aamin1,5,1,1,3,True,Drought,Ethiopia
Kaxda Nabada,4,2,1,1,True,Conflict,Welmaro
Makuudi 1,7,2,2,3,True,Drought,Makuudi
Marwo,30,9,12,9,True,Conflict,Jameeca
Sarman-2,4,1,1,2,True,Conflict,Buur eyla 
Rakaale,3,0,1,2,True,Drought,Rakaale village
Dee Wiinay,6,2,2,2,True,Drought,Dooy Nuunay
Beyxaaw,4,2,1,1,True,Drought,Boorama
Kham-Kham,7,2,2,3,True,Conflict,Mayonde 
Yaqashid,6,1,2,3,True,Drought,Bandhumi
Aw-Raame,4,1,1,2,True,Drought,Dublay
Waradoy,3,1,1,1,True,Drought,Diinsoor
Jiracle,13,3,5,5,True,Drought,"Bursagar
 qadiida "
Towfiq IDP,47,14,15,18,True,Conflict,Saakow
Matawaan,24,5,8,11,True,Conflict,Buulo Sheikh
Danyar IDPs,30,7,9,14,True,Other,Gaabaney
Salamey -2,7,2,2,3,True,Drought,Awdinle
Habriir,6,1,3,2,True,Drought,Habriir village
Kulan,22,1,5,16,True,Conflict,Buula yaaq
Camp hagar,8,1,1,6,True,Conflict,Buale
Koban Dheere,3,1,1,1,True,Drought,Baarsaare
Abaq Haluul,3,1,1,1,True,Drought,Ethiopia
Bisigle,5,1,3,1,True,Drought,Bisigle village
Garasfur,15,3,6,6,True,Drought,Garasfur
Badbaado,5,1,2,2,True,Drought,Badbaado
Albaraka,18,2,5,11,True,Conflict,Shanqalow
Banreer,4,1,1,2,True,Drought,Boholraar
Madsharif,3,1,1,1,True,Drought,Gurbaan
Kaysaney,7,3,3,1,True,Drought,Baidoa 
Tuulo Celdhere,13,3,5,5,True,Drought,Caracase 
Ceel Cedow,7,4,3,0,True,Drought,Ceel Cedow village
Weelwaanre,10,2,1,7,True,Eviction,Barbaare 
Towfiiq,27,9,11,7,True,Drought,Towfiiq
Maarey,16,4,6,6,True,Drought,Maarey
Yahole,9,2,4,3,True,Drought,Dhanfaruur village
Ceel Laxeli,5,1,2,2,True,Drought,Luuq
Warjire,5,1,2,2,True,Drought,Dini doog
Abag-Deerey,10,1,3,6,True,Eviction,Tugaarey
Awal Barwaqo,4,1,2,1,True,Drought,Moodo moodo
Buulo-Oomane,4,1,1,2,True,Drought,Baardheere
Dure Emed IDP,14,1,5,8,True,Drought,Buulo Gomor
Dalab,5,1,1,3,True,Drought,Unkown
Dharkanley,6,1,1,4,True,Drought,Bula yaaq
Qot Qot Camp,6,1,1,4,True,Drought,Buur Madow
Buulo Maal,3,1,1,1,True,Drought,Uffurow
Sinai,18,3,3,12,True,Drought,Baraawey
Biyooley,10,3,2,5,True,Drought,Baidoa 
Radiile,15,3,4,8,True,Conflict,Sakow
Wabiyow IDP,5,3,1,1,True,Drought,Buurdhuxunle
Harbiyow,2,0,1,1,True,Conflict,October
Dhagaxbarkato,3,1,1,1,True,Drought,Ethiopia
Kainey,6,1,3,2,True,Drought,Garasweyne village
Kaalimey 1,4,1,1,2,True,Conflict,Diinsoor 
Banaaney,15,5,5,5,True,Drought,Baqtiiley 
Carabo,30,10,10,10,True,Drought,Yusuf jexaay 
Bulo Fur,80,15,30,35,True,Drought,Sharti 
Mareere,21,4,7,10,True,Conflict,Laandheer
Gabay,12,3,4,5,True,Drought,Jariirow
Buurane,89,14,21,54,True,Drought,Cali ganey 
Galgal Onle-2,2,0,1,1,True,Drought,Buurdhuhule
Hafata -3,3,1,1,1,True,Drought,Abaalbarbari
Dhokaal,8,1,3,4,True,Drought,Arabow
Buulo Bari,35,5,12,18,True,Drought,"Xabeeble, Meer-cado and Abdhaare"
Hiran,2,0,1,1,True,Eviction,October
Maqbuul camp,2,0,1,1,True,Conflict,October
Hajiweyne,6,1,2,3,True,Conflict,Mayonde 
Buur Abor,8,2,2,4,True,Drought,Bohol
Xarardheere,4,0,2,2,True,Drought,Sablaale
Gashanbig,4,1,1,2,True,Drought,Unkown
Xafata,4,1,1,2,True,Drought,Kurman
Garasweyne,3,0,2,1,True,Drought,Garasweyne village
Dhabad,17,7,5,5,True,Drought,Funujo 
Boor Boor,7,2,3,2,True,Drought,Qansahdere 
Hilo Ari,8,2,3,3,True,Drought,Hilo Ari
Indhaceel,42,8,14,20,True,Conflict,Caag-bashiir and Beeroyabal
Donfeylahow IDP,8,2,4,2,True,Drought,Donfeylahow village
Saafi,35,9,12,14,True,Drought,Abdicale
Camp 1,12,3,4,5,True,Drought,Xasbahale
Imey,2,1,1,0,True,Conflict,October
Qaydar Edi,7,2,2,3,True,Drought,Doolow
Camp Jadiid,1,0,1,0,True,Drought,We need food
Towfiq,3,1,1,1,True,Drought,Moora Qasaale
Tuulada Jameeca Bun-Beega,10,2,3,5,True,Drought,Tuulada Jameeca Bun-Beega
Rajo,3,1,1,1,True,Conflict,Balcad
Fidow,6,1,2,3,True,Conflict,Donburale
Buulo Shiid,2,1,1,0,True,Drought,Buulo Madey
Kaam ilaal,5,1,2,2,True,Drought,Walawayn
Allah Umaqan,3,1,1,1,True,Drought,Dusti
Tawakal2,3,1,1,1,True,Drought,Buq aqble
Alla-Karim,6,2,1,3,True,Drought,Qoryoley 
Cabdi Afey,5,2,2,1,True,Drought,Cabdi Afey
Mogi Maalag,4,1,1,2,True,Drought,Mogimalaag village
Al-aamin,40,10,15,15,True,Drought,Caracase 
Garsoor,8,3,2,3,True,Drought,Garsoor
Busley,17,5,7,5,True,Drought,Busley
Gareerodo,7,1,3,3,True,Drought,Weel malaas
Halaac Wanaq,7,2,2,3,True,Conflict,Garasdhere
Mushka,11,2,4,5,True,Eviction,Abbey
Emedkoorey,7,2,1,4,True,Drought,Buulo jadiid village
Horgooy,5,1,1,3,True,Drought,Horgooy
Mora Hagar,6,1,2,3,True,Drought,Tootiyaas village
Dhagaxley,7,1,2,4,True,Drought,Tiiy
Fadhigaale,4,1,2,1,True,Drought,Fadhigale village
Buulo Kuusow,8,2,3,3,True,Drought,Raama Adey
Bakal Gaduud,6,2,2,2,True,Drought,Qansaxdheere
Garbolow,5,1,1,3,True,Drought,Raga
Dhegaweyne,3,0,1,2,True,Other,Unkown
Oori,3,1,1,1,True,Drought,Oflow
Wabari,3,1,1,1,True,Drought,Kamarow
Waab Garaad,6,2,1,3,True,Drought,Wabgarad village
Dabolow 1,4,1,1,2,True,Drought,Mugdisaar
Korunbod,8,2,3,3,True,Drought,Korunbod
Jiidow Bakool,3,1,1,1,True,Drought,Daynuunay 
Daryeel,5,1,1,3,True,Drought,Banow
Horgoyta,8,3,4,1,True,Drought,Horgoyta
Wabi-Shabele,4,0,1,3,True,Drought,Luuq jelow
Faarax-Gololey,45,14,22,9,True,Flood,Jameeco misra 
Bakal,3,0,1,2,True,Drought,Bakal
Tawakal,6,2,2,2,True,Drought,Eleemow 
Aydooyo,14,2,4,8,True,Drought,Basra
Bardaale Airstrip zone,6,1,2,3,True,Drought,Baygaduud
Mubarak,1,0,1,0,True,Drought,Buurdhuxunle
New Alla Aamin,32,6,10,16,True,Drought,Balcaano and 7jaziira
Buulo Keerow,3,1,1,1,True,Drought,Awdinle
Hubbey,14,2,4,8,True,Drought,Hubey village
Dhinaawe,3,1,1,1,True,Drought,Buurdhuxunle
Ladan,4,1,1,2,True,Drought,Mirkey
Kaskey,56,15,20,21,True,Conflict,Cadayli
Mushka,4,1,2,1,True,Drought,Bonkay
Najax,42,12,15,15,True,Drought,Gadondhawe 
Madooda,4,1,2,1,True,Drought,Madooda village
Dirir,4,0,2,2,True,Eviction,Jowhar
Logu Bogay,5,1,2,2,True,Drought,Logu Bogay
Adable Ade,3,1,1,1,True,Drought,Raydabo
Yaakumaan,3,1,1,1,True,Drought,Jiidow
Kadhalan,4,1,1,2,True,Drought,Gelgel
Baqaley,6,2,3,1,True,Drought,Dhariiqa
Xaafito,8,2,2,4,True,Drought,Xaafito
Kaamka Riiga,6,0,1,5,True,Drought,Buulo
Maanyow,9,2,3,4,True,Drought,Maanyow
Hareri Falaq,9,2,3,4,True,Conflict,Qansahdere 
Buur Gaduud,6,2,2,2,True,Drought,Saakow
Guudal,6,2,2,2,True,Drought,Xoogir village
Reeboy,4,1,1,2,True,Drought,Burhakabo 
Safo,4,1,1,2,True,Drought,Burhakabo 
Labi Saab,11,3,4,4,True,Conflict,Qansahdere 
Arooswiini,6,2,2,2,True,Drought,Baarsaare
Dugule,8,2,3,3,True,Drought,Gooriisino
Waberi2,8,2,3,3,True,Drought,Yaaq Braawe
Madina,9,2,3,4,True,Drought,Yasa
Kahweyna,5,0,1,4,True,Drought,Guba 
Shukurow,5,2,1,2,True,Drought,Baladwen 
Dhanfarur,8,2,3,3,True,Drought,Uffurow
Lowforaar,6,1,2,3,True,Drought,Jawaarey
Elbay-3,5,1,2,2,True,Drought,Uffurow
Misra,6,1,1,4,True,Drought,Baidoa
Bula Cesan,33,10,15,8,True,Drought,Bakal
Alle Suge IDP,35,11,11,13,True,Flood,Shaam and Biya cade
Qulay,5,1,2,2,True,Drought,Misra
Masiirka,11,4,3,4,True,Drought,Masiirka
Kabka,4,1,1,2,True,Drought,Balcad 
Balleey,7,2,2,3,True,Drought,Balleey
Waaberi,26,3,5,18,True,Conflict,Tuwaake 
Bundiid,10,2,3,5,True,Drought,Cel bashir
Safiina,18,2,5,11,True,Drought,Janaale
Golol Omane,20,3,5,12,True,Conflict,Bur helela
Goomir,6,2,2,2,True,Conflict,Buulo cadoy
Kashide,4,1,2,1,True,Drought,Ganugaay
Manaas,29,7,13,9,True,Drought,Farhane
Ceel Burro,8,2,3,3,True,Drought,Ceel Burro
Daarta,8,2,2,4,True,Drought,Daarta
Adable Weyne,7,2,2,3,True,Drought,Buulo-Gomor
Daryeel B Yaquub,3,0,1,2,True,Eviction,Bundoweyn 
Buulo-Galoole,7,3,2,2,True,Drought,Buulo-Galoole
Warsamaale,10,3,3,4,True,Drought,Buulo Barake
Coonjir,5,2,2,1,True,Drought,Baidoa 
Bansuuf 2,6,2,2,2,True,Drought,Makuudi
Modamoode,4,1,1,2,True,Drought,Dalandole-2
Celasha,10,2,3,5,True,Drought,Fadaf
Dudimi Edi,3,1,1,1,True,Conflict,Dhayal
Buurow,3,1,1,1,True,Conflict,Gurbaaan
Bulo Sheq,3,1,1,1,True,Drought,Diinsoor
Buulo Abag,10,2,3,5,True,Drought,Buulo Abag
Wadajir,13,3,4,6,True,Drought,Gasamom
Doy Gaabey,4,1,1,2,True,Drought,Dooriyaanle
Hareeriley,20,6,10,4,True,Flood,Far barki 
Maxaa Deex,38,11,19,8,True,Flood,Far barki 
Farsamada,6,0,2,4,True,Drought,Cows-weyne
Biyooley 1,6,2,2,2,True,Drought,Dolondoole
Toosikaar,8,2,3,3,True,Drought,Baidoa
Xero koowaad,7,1,1,5,True,Drought,Guba
Kaskey,5,1,1,3,True,Drought,Malende
Sh. Ali Abdule,55,17,27,11,True,Flood,Jameeco misra 
Unlawe / Aw Adoon,5,1,2,2,True,Conflict,Qoryooley
Barkadle 2,3,1,1,1,True,Drought,Buur eyle
Golol Dheer,12,2,3,7,True,Drought,Bur eyl
Omar Maadow,18,2,5,11,True,Drought,Omar madow
Al Rahma,14,4,5,5,True,Conflict,Alifow
Buundo,6,0,1,5,True,Drought,Malasle
